card_id,customer_id,card_type,region,issue_date,activation_status,monthly_limit_ngn
CARD20001,CUST10263,Platinum,Abuja,2026-01-17,Active,2000000
CARD20002,CUST10323,Classic,Lagos,2025-10-22,Active,1000000
CARD20003,CUST10137,Classic,Kano,2025-07-17,Active,1000000
CARD20004,CUST10372,Classic,Lagos,2025-03-20,Active,100000
CARD20005,CUST10447,Platinum,Lagos,2025-08-02,Active,500000
CARD20006,CUST10256,Classic,Abuja,2025-06-08,Inactive,2000000
CARD20007,CUST10395,Platinum,Ibadan,2025-07-20,Active,500000
CARD20008,CUST10037,Classic,Lagos,2025-01-22,Active,100000
CARD20009,CUST10142,Classic,Abuja,2025-12-05,Active,100000
CARD20010,CUST10147,Classic,Port Harcourt,2025-08-30,Active,2000000
CARD20011,CUST10008,Gold,Lagos,2025-08-26,Active,100000
CARD20012,CUST10251,Gold,Kano,2025-05-29,Active,2000000
CARD20013,CUST10135,Classic,Lagos,2025-01-07,Inactive,100000
CARD20014,CUST10059,Classic,Lagos,2025-08-21,Active,1000000
CARD20015,CUST10123,Classic,Abuja,2025-03-18,Active,2000000
CARD20016,CUST10447,Classic,Lagos,2026-05-04,Active,1000000
CARD20017,CUST10263,Classic,Port Harcourt,2025-03-28,Active,1000000
CARD20018,CUST10120,Platinum,Abuja,2025-08-10,Inactive,2000000
CARD20019,CUST10439,Gold,Lagos,2026-02-17,Active,500000
CARD20020,CUST10259,Classic,Kano,2025-07-21,Inactive,250000
CARD20021,CUST10323,Platinum,Port Harcourt,2025-10-03,Active,100000
CARD20022,CUST10018,Platinum,Abuja,2025-08-09,Active,100000
CARD20023,CUST10301,Classic,Lagos,2025-06-06,Inactive,500000
CARD20024,CUST10353,Classic,Lagos,2025-06-30,Active,250000
CARD20025,CUST10092,Platinum,Port Harcourt,2025-05-09,Active,500000
CARD20026,CUST10164,Gold,Ibadan,2025-08-31,Inactive,250000
CARD20027,CUST10144,Classic,Lagos,2025-06-21,Active,2000000
CARD20028,CUST10335,Gold,Abuja,2026-05-18,Active,2000000
CARD20029,CUST10413,Classic,Abuja,2026-04-25,Active,1000000
CARD20030,CUST10315,Platinum,Lagos,2025-09-27,Active,1000000
CARD20031,CUST10402,Classic,Ibadan,2026-02-25,Active,2000000
CARD20032,CUST10433,Gold,Lagos,2025-06-12,Inactive,1000000
CARD20033,CUST10238,Classic,Lagos,2025-01-24,Active,2000000
CARD20034,CUST10174,Classic,Lagos,2026-05-12,Active,500000
CARD20035,CUST10083,Classic,Lagos,2025-07-12,Inactive,100000
CARD20036,CUST10157,Classic,Lagos,2026-01-25,Active,2000000
CARD20037,CUST10109,Gold,Ibadan,2026-05-12,Active,2000000
CARD20038,CUST10178,Classic,Port Harcourt,2025-05-09,Active,2000000
CARD20039,CUST10250,Classic,Lagos,2026-06-27,Inactive,1000000
CARD20040,CUST10253,Gold,Port Harcourt,2025-02-05,Inactive,1000000
CARD20041,CUST10055,Gold,Port Harcourt,2026-04-02,Active,1000000
CARD20042,CUST10155,Classic,Lagos,2025-12-27,Inactive,1000000
CARD20043,CUST10391,Classic,Lagos,2025-08-03,Active,500000
CARD20044,CUST10091,Platinum,Lagos,2025-10-14,Active,2000000
CARD20045,CUST10339,Classic,Lagos,2026-01-04,Inactive,500000
CARD20046,CUST10126,Platinum,Ibadan,2026-04-14,Active,1000000
CARD20047,CUST10337,Classic,Abuja,2025-07-05,Active,500000
CARD20048,CUST10169,Gold,Kano,2026-04-19,Active,2000000
CARD20049,CUST10139,Classic,Ibadan,2025-03-02,Active,2000000
CARD20050,CUST10005,Gold,Lagos,2025-09-19,Active,1000000
CARD20051,CUST10066,Classic,Ibadan,2025-04-21,Active,2000000
CARD20052,CUST10111,Classic,Lagos,2025-05-21,Inactive,500000
CARD20053,CUST10184,Classic,Lagos,2026-06-19,Inactive,250000
CARD20054,CUST10268,Gold,Abuja,2025-03-20,Active,2000000
CARD20055,CUST10170,Platinum,Lagos,2026-05-09,Active,500000
CARD20056,CUST10362,Classic,Lagos,2025-01-31,Active,500000
CARD20057,CUST10244,Classic,Port Harcourt,2026-05-31,Active,500000
CARD20058,CUST10331,Gold,Ibadan,2026-05-24,Active,2000000
CARD20059,CUST10138,Platinum,Lagos,2025-03-07,Active,250000
CARD20060,CUST10028,Gold,Lagos,2026-05-25,Active,1000000
CARD20061,CUST10007,Platinum,Abuja,2026-01-06,Active,1000000
CARD20062,CUST10398,Classic,Port Harcourt,2025-10-14,Active,2000000
CARD20063,CUST10333,Classic,Lagos,2025-06-25,Active,2000000
CARD20064,CUST10317,Classic,Kano,2025-05-03,Active,100000
CARD20065,CUST10051,Gold,Port Harcourt,2025-08-19,Active,250000
CARD20066,CUST10426,Classic,Port Harcourt,2025-01-04,Active,500000
CARD20067,CUST10136,Classic,Kano,2026-02-16,Active,500000
CARD20068,CUST10178,Classic,Kano,2025-09-07,Active,1000000
CARD20069,CUST10129,Classic,Lagos,2026-05-02,Active,2000000
CARD20070,CUST10197,Classic,Lagos,2025-12-11,Active,250000
CARD20071,CUST10267,Classic,Port Harcourt,2025-11-29,Active,1000000
CARD20072,CUST10107,Platinum,Kano,2026-03-29,Active,250000
CARD20073,CUST10048,Classic,Port Harcourt,2025-06-07,Active,2000000
CARD20074,CUST10138,Classic,Lagos,2025-09-27,Inactive,500000
CARD20075,CUST10399,Gold,Port Harcourt,2026-02-22,Active,100000
CARD20076,CUST10103,Platinum,Lagos,2026-03-16,Active,250000
CARD20077,CUST10047,Gold,Kano,2025-01-29,Inactive,500000
CARD20078,CUST10153,Classic,Abuja,2025-12-01,Active,250000
CARD20079,CUST10368,Platinum,Kano,2025-08-26,Active,250000
CARD20080,CUST10006,Classic,Abuja,2025-06-02,Active,250000
CARD20081,CUST10011,Classic,Kano,2025-04-25,Active,2000000
CARD20082,CUST10017,Gold,Lagos,2026-02-03,Active,1000000
CARD20083,CUST10143,Gold,Port Harcourt,2025-02-01,Active,250000
CARD20084,CUST10272,Gold,Kano,2026-06-16,Active,2000000
CARD20085,CUST10312,Platinum,Port Harcourt,2025-02-22,Inactive,100000
CARD20086,CUST10066,Gold,Port Harcourt,2025-07-14,Active,1000000
CARD20087,CUST10420,Platinum,Lagos,2025-11-01,Active,2000000
CARD20088,CUST10339,Gold,Abuja,2025-12-11,Active,100000
CARD20089,CUST10422,Classic,Ibadan,2025-03-23,Active,1000000
CARD20090,CUST10331,Classic,Lagos,2025-01-01,Active,2000000
CARD20091,CUST10256,Classic,Ibadan,2025-06-16,Active,100000
CARD20092,CUST10127,Classic,Port Harcourt,2025-11-13,Active,2000000
CARD20093,CUST10131,Gold,Lagos,2025-07-02,Active,100000
CARD20094,CUST10018,Gold,Lagos,2025-09-30,Active,250000
CARD20095,CUST10207,Classic,Abuja,2026-01-08,Active,250000
CARD20096,CUST10089,Classic,Lagos,2025-12-28,Inactive,1000000
CARD20097,CUST10438,Classic,Kano,2025-07-20,Active,100000
CARD20098,CUST10243,Platinum,Port Harcourt,2025-07-11,Active,250000
CARD20099,CUST10350,Classic,Lagos,2025-12-07,Active,1000000
CARD20100,CUST10017,Gold,Lagos,2025-10-26,Inactive,500000
CARD20101,CUST10223,Gold,Port Harcourt,2026-05-21,Inactive,250000
CARD20102,CUST10370,Classic,Abuja,2025-05-20,Active,250000
CARD20103,CUST10363,Classic,Lagos,2025-11-02,Active,2000000
CARD20104,CUST10210,Classic,Abuja,2025-07-15,Active,500000
CARD20105,CUST10099,Gold,Ibadan,2025-03-02,Active,100000
CARD20106,CUST10013,Gold,Lagos,2025-12-26,Active,1000000
CARD20107,CUST10319,Gold,Lagos,2025-11-03,Active,500000
CARD20108,CUST10270,Gold,Kano,2026-04-25,Active,100000
CARD20109,CUST10187,Classic,Lagos,2025-11-29,Active,250000
CARD20110,CUST10420,Classic,Ibadan,2025-03-24,Active,1000000
CARD20111,CUST10274,Platinum,Lagos,2025-11-30,Active,1000000
CARD20112,CUST10133,Gold,Lagos,2026-06-01,Active,500000
CARD20113,CUST10014,Gold,Lagos,2026-04-19,Active,2000000
CARD20114,CUST10281,Gold,Lagos,2026-01-29,Active,100000
CARD20115,CUST10044,Classic,Lagos,2026-01-15,Inactive,500000
CARD20116,CUST10377,Classic,Lagos,2025-01-21,Active,2000000
CARD20117,CUST10295,Gold,Lagos,2025-06-26,Active,2000000
CARD20118,CUST10396,Platinum,Lagos,2025-12-29,Active,2000000
CARD20119,CUST10104,Classic,Port Harcourt,2025-01-22,Active,1000000
CARD20120,CUST10445,Classic,Ibadan,2025-09-07,Inactive,100000
CARD20121,CUST10062,Classic,Ibadan,2025-03-14,Active,100000
CARD20122,CUST10053,Classic,Abuja,2025-04-01,Active,500000
CARD20123,CUST10309,Classic,Kano,2025-06-25,Active,250000
CARD20124,CUST10412,Platinum,Lagos,2025-05-06,Inactive,500000
CARD20125,CUST10419,Gold,Lagos,2025-07-23,Active,100000
CARD20126,CUST10118,Platinum,Lagos,2025-09-03,Active,1000000
CARD20127,CUST10321,Gold,Ibadan,2025-09-28,Active,500000
CARD20128,CUST10131,Classic,Ibadan,2025-02-13,Active,250000
CARD20129,CUST10299,Platinum,Abuja,2025-06-17,Active,500000
CARD20130,CUST10306,Classic,Lagos,2026-03-11,Active,2000000
CARD20131,CUST10199,Platinum,Port Harcourt,2025-01-30,Active,250000
CARD20132,CUST10393,Gold,Lagos,2025-12-23,Active,2000000
CARD20133,CUST10036,Classic,Abuja,2026-05-06,Active,1000000
CARD20134,CUST10279,Classic,Abuja,2025-09-05,Inactive,100000
CARD20135,CUST10216,Classic,Lagos,2025-09-10,Inactive,500000
CARD20136,CUST10074,Classic,Lagos,2026-01-17,Active,500000
CARD20137,CUST10306,Classic,Port Harcourt,2026-06-20,Active,2000000
CARD20138,CUST10055,Platinum,Abuja,2026-02-23,Inactive,2000000
CARD20139,CUST10381,Gold,Lagos,2025-05-03,Active,100000
CARD20140,CUST10012,Classic,Abuja,2025-10-21,Active,500000
CARD20141,CUST10083,Classic,Kano,2025-05-23,Inactive,100000
CARD20142,CUST10032,Gold,Lagos,2026-05-26,Active,2000000
CARD20143,CUST10408,Classic,Lagos,2025-02-26,Active,2000000
CARD20144,CUST10086,Classic,Abuja,2025-02-11,Active,250000
CARD20145,CUST10232,Gold,Port Harcourt,2025-05-01,Inactive,2000000
CARD20146,CUST10411,Classic,Lagos,2025-12-09,Active,2000000
CARD20147,CUST10445,Classic,Lagos,2025-11-28,Inactive,100000
CARD20148,CUST10275,Classic,Lagos,2026-04-01,Active,250000
CARD20149,CUST10201,Classic,Abuja,2026-03-13,Active,250000
CARD20150,CUST10051,Classic,Lagos,2025-12-07,Active,500000
CARD20151,CUST10320,Classic,Port Harcourt,2025-12-07,Active,1000000
CARD20152,CUST10256,Classic,Kano,2026-02-20,Active,500000
CARD20153,CUST10241,Platinum,Kano,2025-07-01,Active,500000
CARD20154,CUST10205,Gold,Port Harcourt,2025-09-21,Inactive,500000
CARD20155,CUST10386,Gold,Abuja,2025-07-29,Active,250000
CARD20156,CUST10420,Classic,Ibadan,2026-06-07,Active,100000
CARD20157,CUST10384,Classic,Ibadan,2025-07-01,Active,2000000
CARD20158,CUST10395,Classic,Ibadan,2026-03-20,Active,250000
CARD20159,CUST10196,Gold,Lagos,2025-09-08,Active,2000000
CARD20160,CUST10244,Classic,Lagos,2025-05-18,Active,2000000
CARD20161,CUST10320,Gold,Kano,2025-08-06,Inactive,1000000
CARD20162,CUST10001,Classic,Kano,2026-03-30,Active,500000
CARD20163,CUST10089,Platinum,Abuja,2025-03-28,Active,1000000
CARD20164,CUST10282,Platinum,Kano,2025-10-20,Active,500000
CARD20165,CUST10139,Classic,Port Harcourt,2025-04-02,Active,250000
CARD20166,CUST10087,Gold,Abuja,2025-07-27,Active,2000000
CARD20167,CUST10002,Classic,Lagos,2025-07-23,Active,1000000
CARD20168,CUST10349,Gold,Abuja,2025-07-05,Active,250000
CARD20169,CUST10168,Classic,Abuja,2025-03-26,Active,250000
CARD20170,CUST10119,Classic,Kano,2025-06-05,Active,500000
CARD20171,CUST10388,Classic,Abuja,2025-10-20,Active,2000000
CARD20172,CUST10080,Platinum,Ibadan,2026-06-17,Active,500000
CARD20173,CUST10111,Gold,Ibadan,2025-06-10,Active,500000
CARD20174,CUST10165,Classic,Lagos,2026-01-21,Active,250000
CARD20175,CUST10382,Gold,Lagos,2026-04-30,Active,500000
CARD20176,CUST10445,Classic,Port Harcourt,2026-05-18,Active,100000
CARD20177,CUST10219,Classic,Lagos,2025-06-05,Active,2000000
CARD20178,CUST10005,Platinum,Port Harcourt,2025-05-23,Inactive,500000
CARD20179,CUST10399,Classic,Lagos,2025-10-11,Active,500000
CARD20180,CUST10215,Gold,Lagos,2025-02-04,Active,1000000
CARD20181,CUST10195,Classic,Lagos,2025-08-12,Inactive,2000000
CARD20182,CUST10282,Classic,Lagos,2026-01-28,Inactive,2000000
CARD20183,CUST10006,Classic,Lagos,2026-02-12,Inactive,500000
CARD20184,CUST10379,Platinum,Kano,2026-01-23,Active,100000
CARD20185,CUST10300,Gold,Lagos,2025-10-24,Inactive,1000000
CARD20186,CUST10058,Classic,Kano,2025-11-19,Active,100000
CARD20187,CUST10337,Gold,Kano,2026-05-03,Inactive,500000
CARD20188,CUST10302,Platinum,Kano,2025-02-08,Active,2000000
CARD20189,CUST10102,Classic,Abuja,2026-05-20,Inactive,2000000
CARD20190,CUST10426,Classic,Port Harcourt,2026-05-18,Active,100000
CARD20191,CUST10048,Classic,Lagos,2026-06-21,Active,250000
CARD20192,CUST10370,Classic,Lagos,2025-11-12,Active,500000
CARD20193,CUST10411,Gold,Ibadan,2026-05-11,Active,2000000
CARD20194,CUST10276,Classic,Lagos,2025-04-27,Inactive,250000
CARD20195,CUST10371,Classic,Kano,2025-12-08,Active,2000000
CARD20196,CUST10163,Classic,Port Harcourt,2025-08-28,Active,2000000
CARD20197,CUST10332,Classic,Lagos,2026-03-21,Inactive,250000
CARD20198,CUST10432,Gold,Lagos,2026-05-02,Active,100000
CARD20199,CUST10196,Gold,Port Harcourt,2026-02-15,Active,500000
CARD20200,CUST10377,Classic,Abuja,2025-10-25,Active,250000
CARD20201,CUST10436,Classic,Port Harcourt,2025-02-21,Active,250000
CARD20202,CUST10365,Classic,Lagos,2025-10-31,Active,2000000
CARD20203,CUST10324,Platinum,Lagos,2025-10-15,Active,250000
CARD20204,CUST10132,Classic,Lagos,2025-04-28,Active,500000
CARD20205,CUST10423,Classic,Lagos,2026-02-28,Active,100000
CARD20206,CUST10405,Classic,Lagos,2025-07-28,Inactive,100000
CARD20207,CUST10066,Classic,Lagos,2025-05-07,Active,100000
CARD20208,CUST10400,Classic,Lagos,2025-10-20,Active,500000
CARD20209,CUST10391,Gold,Port Harcourt,2026-06-03,Active,2000000
CARD20210,CUST10083,Gold,Port Harcourt,2025-08-10,Inactive,500000
