transaction_id,transaction_date,customer_id,card_id,region,card_type,channel,merchant_category,transaction_amount_ngn,status,is_successful,transaction_month
TXN300001,2026-04-13,CUST10232,CARD20444,Kano,Gold,ATM,Entertainment,2536.03,Successful,1,2026-04
TXN300002,2026-06-29,CUST10227,CARD20283,Lagos,Classic,POS,Entertainment,7078.96,Successful,1,2026-06
TXN300003,2026-04-03,CUST10233,CARD20312,Kano,Classic,POS,Travel,6099.21,Successful,1,2026-04
TXN300004,2026-01-15,CUST10221,CARD20535,Lagos,Classic,ATM,Retail,6771.21,Successful,1,2026-01
TXN300005,2026-04-17,CUST10436,CARD20277,Abuja,Gold,POS,Dining,36590.53,Successful,1,2026-04
TXN300006,2026-03-13,CUST10413,CARD20061,Ibadan,Gold,Online,Dining,4879.54,Successful,1,2026-03
TXN300007,2026-01-21,CUST10422,CARD20319,Lagos,Gold,POS,Fuel,8456.81,Successful,1,2026-01
TXN300008,2026-04-13,CUST10042,CARD20052,Abuja,Classic,Online,Travel,2836.35,Successful,1,2026-04
TXN300009,2026-05-02,CUST10021,CARD20153,Lagos,Gold,POS,Entertainment,17193.72,Successful,1,2026-05
TXN300010,2026-03-16,CUST10042,CARD20311,Kano,Platinum,Online,Dining,7018.69,Successful,1,2026-03
TXN300011,2026-03-29,CUST10397,CARD20544,Ibadan,Classic,POS,Utilities,20798.72,Successful,1,2026-03
TXN300012,2026-04-27,CUST10113,CARD20567,Port Harcourt,Gold,POS,Entertainment,1134.92,Successful,1,2026-04
TXN300013,2026-04-10,CUST10105,CARD20389,Abuja,Gold,Online,Travel,7734.88,Successful,1,2026-04
TXN300014,2026-04-14,CUST10192,CARD20548,Ibadan,Platinum,ATM,Retail,9006.5,Successful,1,2026-04
TXN300015,2026-06-01,CUST10017,CARD20177,Lagos,Platinum,POS,Utilities,16801.42,Successful,1,2026-06
TXN300016,2026-05-11,CUST10120,CARD20362,Abuja,Classic,Online,Fuel,4848.39,Successful,1,2026-05
TXN300017,2026-05-30,CUST10393,CARD20314,Port Harcourt,Classic,POS,Groceries,15206.22,Successful,1,2026-05
TXN300018,2026-02-22,CUST10425,CARD20097,Lagos,Classic,Online,Utilities,5313.74,Successful,1,2026-02
TXN300019,2026-01-02,CUST10129,CARD20213,Lagos,Classic,POS,Entertainment,8734.24,Successful,1,2026-01
TXN300020,2026-03-29,CUST10130,CARD20137,Lagos,Classic,Online,Retail,16942.17,Successful,1,2026-03
TXN300021,2026-06-07,CUST10060,CARD20006,Lagos,Gold,POS,Utilities,3851.37,Successful,1,2026-06
TXN300022,2026-02-07,CUST10048,CARD20109,Ibadan,Classic,POS,Travel,14653.99,Successful,1,2026-02
TXN300023,2026-05-10,CUST10029,CARD20547,Abuja,Classic,POS,Travel,10592.72,Successful,1,2026-05
TXN300024,2026-01-21,CUST10097,CARD20039,Port Harcourt,Gold,POS,Retail,6204.69,Successful,1,2026-01
TXN300025,2026-06-10,CUST10010,CARD20425,Lagos,Classic,ATM,Entertainment,4747.79,Successful,1,2026-06
TXN300026,2026-02-27,CUST10242,CARD20261,Lagos,Platinum,ATM,Travel,1509.2,Successful,1,2026-02
TXN300027,2026-01-22,CUST10314,CARD20426,Lagos,Gold,Online,Utilities,7599.12,Successful,1,2026-01
TXN300028,2026-03-30,CUST10444,CARD20087,Ibadan,Classic,POS,Groceries,6213.0,Successful,1,2026-03
TXN300029,2026-02-18,CUST10232,CARD20465,Port Harcourt,Classic,POS,Utilities,13511.62,Successful,1,2026-02
TXN300030,2026-02-28,CUST10277,CARD20076,Kano,Classic,Online,Groceries,12461.49,Successful,1,2026-02
TXN300031,2026-06-19,CUST10284,CARD20471,Port Harcourt,Gold,ATM,Travel,19074.24,Successful,1,2026-06
TXN300032,2026-01-15,CUST10203,CARD20414,Abuja,Classic,POS,Utilities,19641.18,Successful,1,2026-01
TXN300033,2026-06-24,CUST10247,CARD20457,Abuja,Gold,Online,Travel,101157.13,Successful,1,2026-06
TXN300034,2026-02-20,CUST10290,CARD20285,Kano,Gold,ATM,Entertainment,12221.21,Successful,1,2026-02
TXN300035,2026-04-18,CUST10264,CARD20239,Ibadan,Classic,Online,Groceries,4070.92,Successful,1,2026-04
TXN300036,2026-02-24,CUST10443,CARD20599,Lagos,Platinum,POS,Entertainment,15692.75,Successful,1,2026-02
